Date;Open;High;Low ;Close;Adj Close;Volume
01/12/2015;4504.22;4595.51;4330.76;4593.01;4592.83;2805804100
01/11/2015;4442.42;4 621.26;4 395.97;4 446.46;4 446.29;599 405 500
01/10/2015;4231.41;4 696.16;4 207.80;4 455.18;4 455.01;5 446 914 600
01/09/2015;4 484.20;4 484.79;4 033.59;4 223.91;4 223.74;708 305 400
01/08/2015;4 778.04;4 868.07;4 111.11;4 509.61;4 509.43;3 426 642 000
01/07/2015;4 924.07;4 982.91;4 711.49;4 802.53;4 802.34;3 981 998 500
01/06/2015;5 212.13;5 215.55;4 826.13;4 910.66;4 910.47;4 025 555 000
01/05/2015;5 093.33;5 347.13;5 089.42;5 216.38;5 216.18;771 565 700
01/04/2015;5 516.80;5 524.04;5 015.01;5 086.42;5 086.23;902 189 400
01/03/2015;5 452.83;5 518.67;5 350.47;5 518.67;5 518.46;998 152 400
01/02/2015;5 277.15;5 464.22;5 254.04;5 450.29;5 450.08;813 484 700
01/01/2015;5 233.80;5 325.04;5 121.81;5 289.40;5 289.20;7 433 927 300
01/12/2014;5 150.38;5 226.95;5 005.27;5 226.95;5 226.74;1 009 883 500
01/11/2014;5 102.54;5 157.08;4 965.39;5 149.89;5 149.69;800 435 500
01/10/2014;5 148.57;5 165.39;4 900.72;5 089.55;5 089.35;759 679 100
01/09/2014;5159.94;5 262.57;5 082.73;5 137.58;5 137.38;786 332 000
01/08/2014;5076.23;5 223.98;5 043.52;5 136.86;5 136.66;716 518 500
01/07/2014;4 877.65;5 165.42;4 862.42;5 088.80;5 088.60;769 928 200
01/06/2014;4 900.97;4 971.95;4 835.04;4 878.58;4 878.39;593 998 300
01/05/2014;4 845.34;5 091.32;4 828.22;4 893.91;4 893.72;624 263 300
01/04/2014;4 796.16;4 933.11;4 721.60;4 840.15;4 839.96;766 737 100
01/03/2014;4 589.62;4 903.50;4 567.76;4 768.28;4 768.09;872 846 300
01/02/2014;4 407.00;4 665.27;4 320.78;4 620.22;4 620.04;699 353 100
01/01/2014;4 294.50;4 510.22;4 161.19;4 418.76;4 418.58;580 729 700
01/12/2013;4 269.08;4 331.59;4 109.31;4 274.18;4 274.01;557 004 700
01/11/2013;4 473.73;4 518.65;4 202.92;4 256.44;4 256.27;631 131 500
01/10/2013;4 314.96;4 611.26;4 314.96;4 510.63;4 510.46;730 351 500
01/09/2013;4 196.72;4 791.77;4 012.68;4 316.18;4 316.01;925 230 400
01/08/2013;4 618.96;4 699.73;3 837.74;4 195.09;4 194.93;669 421 900
01/07/2013;4 757.18;4 815.73;4 403.80;4 610.38;4 610.20;684 278 500
01/06/2013;5 053.54;5 055.83;4 373.38;4 818.90;4 818.71;834 560 100
01/05/2013;5 020.20;5 251.30;4 907.60;5 068.63;5 068.43;1 067 240 300
01/04/2013;4 927.12;5 034.07;4 856.30;5 034.07;5 033.88;1 010 530 400
01/03/2013;4 798.49;4 940.99;4 721.32;4 940.99;4 940.79;1 128 371 800
01/02/2013;4 458.60;4 795.79;4 457.45;4 795.79;4 795.60;1 186 292 800
01/01/2013;4 322.58;4 472.11;4 298.61;4 453.70;4 453.53;778 747 500
01/12/2012;4 277.19;4 340.26;4 222.13;4 316.69;4 316.52;658 049 900
01/11/2012;4 331.75;4 381.75;4 255.27;4 276.14;4 275.97;700 773 800
01/10/2012;4 249.69;4 366.86;4 214.52;4 350.29;4 350.12;828 526 500
01/09/2012;4 052.89;4 272.83;4 047.28;4 262.56;4 262.40;725 779 600
01/08/2012;4 129.81;4 183.03;3 978.08;4 060.33;4 060.17;482 237 200
01/07/2012;3 976.71;4 149.71;3 963.47;4 142.34;4 142.18;521 170 300
01/06/2012;3 820.38;3 971.08;3 635.28;3 955.58;3 955.42;580 809 300
01/05/2012;4 181.09;4 234.73;3 810.39;3 832.82;3 832.67;611 510 600
01/04/2012;4 121.82;4 232.92;4 109.32;4 180.73;4 180.57;815 087 200
01/03/2012;3 985.03;4 129.33;3 929.19;4 121.55;4 121.39;545 808 900
01/02/2012;3 941.78;4 040.08;3 838.54;3 985.21;3 985.05;694 776 900
01/01/2012;3 821.63;4 038.78;3 797.00;3 941.69;3 941.54;742 941 500
01/12/2011;3 715.44;3 825.96;3 666.25;3 821.99;3 821.84;642 088 100
01/11/2011;3 790.11;3 859.10;3 618.97;3 715.08;3 714.94;604 792 900
01/10/2011;3 548.12;3 875.11;3 256.44;3 790.85;3 790.70;946 848 000
01/09/2011;3 842.65;4 028.48;3 217.95;3 549.03;3 548.89;706 645 600
01/08/2011;4 131.73;4 195.72;3 590.94;3 841.73;3 841.58;1 043 226 400
01/07/2011;3 888.20;4 177.74;3 888.20;4 130.80;4 130.64;990 805 400
01/06/2011;3 837.18;3 896.16;3 704.58;3 888.57;3 888.42;744 731 300
01/05/2011;3 819.80;3 872.95;3 760.79;3 836.97;3 836.82;1 188 366 900
01/04/2011;3 679.05;3 824.07;3 671.18;3 819.62;3 819.47;641 475 400
01/03/2011;3 470.63;3 683.47;3 465.60;3 678.67;3 678.53;637 196 600
01/02/2011;3 411.08;3 521.63;3 336.83;3 470.35;3 470.21;440 027 100
01/01/2011;3 704.44;3 789.47;3 309.62;3 409.17;3 409.03;687 806 300
01/12/2010;3 530.93;3 788.56;3 530.93;3 703.51;3 703.37;719 963 100
01/11/2010;3 635.52;3 777.92;3 529.85;3 531.21;3 531.07;1 364 755 800
01/10/2010;3 501.20;3 667.01;3 501.20;3 635.32;3 635.18;1 245 736 000
01/09/2010;3 081.49;3 524.32;3 081.49;3 501.30;3 501.16;1 050 575 300
01/08/2010;3 070.28;3 150.16;2 959.75;3 081.88;3 081.76;817 268 400
01/07/2010;2 912.88;3 104.08;2 860.91;3 069.28;3 069.16;821 131 700
01/06/2010;2 796.66;2 981.28;2 698.28;2 913.68;2 913.57;912 207 900
01/08/2010;2 971.75;2 996.42;2 502.05;2 796.96;2 796.85;969 715 700
01/04/2010;2 777.70;2 972.92;2 777.70;2 971.25;2 971.14;1 055 067 900
01/03/2010;2 548.83;2 818.94;2 545.89;2 777.30;2 777.19;813 656 000
01/02/2010;2 610.59;2 613.67;2 431.84;2 549.03;2 548.93;584 751 200
01/01/2010;2 533.95;2 689.77;2 532.90;2 610.80;2 610.69;826 873 200
01/12/2009;2 416.04;2 542.50;2 413.00;2 534.36;2 534.26;599 642 500
01/11/2009;2 365.65;2 494.82;2 294.56;2 415.84;2 415.74;988 574 900
01/10/2009;2 467.90;2 559.67;2 235.39;2 367.70;2 367.61;889 779 700
01/09/2009;2 341.43;2 482.85;2 272.76;2 467.59;2 467.50;683 017 700
01/08/2009;2 323.85;2 411.90;2 271.21;2 341.54;2 341.45;1 728 505 400
01/07/2009;2 026.88;2 332.76;1 992.38;2 323.24;2 323.15;1 109 168 400
01/06/2009;1 917.45;2 116.17;1 888.82;2 026.78;2 026.70;1 661 741 400
01/05/2009;1 722.77;1 941.79;1 701.99;1 916.83;1 916.76;2 725 548 000
01/04/2009;1 434.07;1 728.07;1 434.07;1 722.77;1 722.70;1 773 498 600
01/03/2009;1 285.48;1 467.52;1 244.87;1 434.07;1 434.02;310 209 300
01/02/2009;1 330.02;1 360.94;1 281.07;1 285.48;1 285.43;328 752 000
01/01/2009;1 377.45;1 472.46;1 307.53;1 332.67;1 332.62;292 053 200
01/12/2008;1 240.85;1 376.10;1 177.86;1 355.41;1 355.36;319 868 900
01/11/2008;1 281.51;1 430.72;1 102.67;1 241.54;1 241.49;431 840 400
01/10/2008;1 766.94;1 766.94;1 089.34;1 256.70;1 256.66;348 218 600
01/09/2008;2 157.02;2 168.80;1 592.24;1 832.51;1 832.44;476 944 500
01/08/2008;2 283.02;2 283.02;2 035.59;2 165.94;2 165.86;332 844 400
01/07/2008;2 361.48;2 394.17;2 129.40;2 304.51;2 304.42;434 750 800
01/06/2008;2 447.63;2 461.05;2 316.43;2 349.10;2 349.01;460 755 400
01/05/2008;2 333.56;2 516.26;2 322.19;2 444.35;2 444.25;627 415 600
01/04/2008;2 463.74;2 465.82;2 167.65;2 304.52;2 304.43;514 830 400
01/03/2008;2 651.88;2 689.66;2 239.73;2 447.30;2 447.20;433 278 800
01/02/2008;2 657.16;2 773.43;2 573.41;2 721.94;2 721.84;592 475 700
01/01/2008;2 739.59;2 838.48;2 229.82;2 627.25;2 627.15;651 196 000
01/12/2007;2 703.72;2 818.53;2 629.07;2 745.83;2 745.72;480 196 800
01/11/2007;2 692.51;2 737.81;2 526.95;2 688.33;2 688.23;800 087 800
01/10/2007;2 366.61;2 689.92;2 366.61;2 643.49;2 643.38;876 734 500
01/09/2007;2 194.43;2 385.24;2 192.79;2 359.21;2 359.11;891 354 100
01/08/2007;2 318.70;2 322.80;1 863.36;2 194.34;2 194.25;550 133 600
01/07/2007;2 140.62;2 405.96;2 140.62;2 348.67;2 348.58;376 941 900
01/06/2007;2 100.68;2 167.45;2 045.58;2 139.28;2 139.19;517 207 000
01/05/2007;1 995.17;2 111.83;1 987.89;2 084.32;2 084.24;550 720 100
01/04/2007;1 837.18;2 021.01;1 837.18;1 999.17;1 999.09;486 833 700
01/03/2007;1 752.11;1 833.42;1 692.22;1 830.92;1 830.85;445 107 500
01/02/2007;1765.87;1824.99;1664.2;1740.97;1740.9;482985200
01/01/2007;1 813.45;1 843.35;1 627.76;1 757.26;1 757.19;501 642 800
