data_ihsg_2007_2024-2
Date,Open,High,Low,Close,AdjClose,Volume,Inflasi,Kurs Jual,Kurs Beli,Kurs Tengah
1/31/2007,1813.45,1843.35,1627.76,1757.26,1757.19,501642800,6.26%,9111.818182,9021.181818,9066.5
2/28/2007,1765.87,1824.99,1664.2,1740.97,1740.9,482985200,6.30%,9112.85,9022.75,9067.8
3/31/2007,1752.11,1833.42,1692.22,1830.92,1830.85,445107500,6.52%,9209.952381,9117.952381,9163.952381
4/30/2007,1837.18,2021.01,1837.18,1999.17,1999.09,486833700,6.29%,9142.9,9052.2,9097.55
5/31/2007,1995.17,2111.83,1987.89,2084.32,2084.24,550720100,6.01%,8888.47619,8800.190476,8844.333333
6/30/2007,2100.68,2167.45,2045.58,2139.28,2139.19,517207000,5.77%,9028.55,8938.75,8983.65
7/31/2007,2140.62,2405.96,2140.62,2348.67,2348.58,376941900,6.06%,9112.363636,9021.909091,9067.136364
8/31/2007,2318.7,2322.8,1863.36,2194.34,2194.25,550133600,6.51%,9413.545455,9319.818182,9366.681818
9/30/2007,2194.43,2385.24,2192.79,2359.21,2359.11,891354100,6.95%,9356.5,9263.3,9309.9
10/31/2007,2366.61,2689.92,2366.61,2643.49,2643.38,876734500,6.88%,9152.705882,9061.411765,9107.058824
11/30/2007,2692.51,2737.81,2526.95,2688.33,2688.23,800087800,6.71%,9310.681818,9217.863636,9264.272727
12/31/2007,2703.72,2818.53,2629.07,2745.83,2745.72,480196800,6.59%,9380.266667,9286.933333,9333.6
1/31/2008,2739.59,2838.48,2229.82,2627.25,2627.15,651196000,7.36%,9453.3,9359.4,9406.35
2/29/2008,2657.16,2773.43,2573.41,2721.94,2721.84,592475700,7.40%,9226.95,9135.35,9181.15
3/31/2008,2651.88,2689.66,2239.73,2447.3,2447.2,433278800,8.17%,9230.833333,9139.055556,9184.944444
4/30/2008,2463.74,2465.82,2167.65,2304.52,2304.43,514830400,8.96%,9254.636364,9162.636364,9208.636364
5/31/2008,2333.56,2516.26,2322.19,2444.35,2444.25,627415600,10.38%,9337.3,9244.3,9290.8
6/30/2008,2447.63,2461.05,2316.43,2349.1,2349.01,460755400,11.03%,9209.454545,9117.454545,9163.454545
7/31/2008,2361.48,2394.17,2129.4,2304.51,2304.42,434750800,11.90%,9209.454545,9117.454545,9163.454545
8/31/2008,2283.02,2283.02,2035.59,2165.94,2165.86,332844400,11.85%,9195.1,9103.4,9149.25
9/30/2008,2157.02,2168.8,1592.24,1832.51,1832.44,476944500,12.14%,9387.4,9293.9,9340.65
10/31/2008,1766.94,1766.94,1089.34,1256.7,1256.66,348218600,11.77%,10098.65,9998.05,10048.35
11/30/2008,1281.51,1430.72,1102.67,1241.54,1241.49,431840400,11.68%,11769.85,11652.45,11711.15
12/31/2008,1240.85,1376.1,1177.86,1355.41,1355.36,319868900,11.06%,11381.52632,11268.15789,11324.84211
1/31/2009,1377.45,1472.46,1307.53,1332.67,1332.62,292053200,9.17%,11223.10526,11111.31579,11167.21053
2/28/2009,1330.02,1360.94,1281.07,1285.48,1285.43,328752000,8.60%,11912.15,11793.35,11852.75
3/31/2009,1285.48,1467.52,1244.87,1434.07,1434.02,310209300,7.92%,11908.8,11790.3,11849.55
4/30/2009,1434.07,1728.07,1434.07,1722.77,1722.7,1773498600,7.31%,11080.25,10969.95,11025.1
5/31/2009,1722.77,1941.79,1701.99,1916.83,1916.76,2725548000,6.04%,10444.65,10340.65,10392.65
6/30/2009,1917.45,2116.17,1888.82,2026.78,2026.7,1661741400,3.65%,10257.59091,10155.68182,10206.63636
