Date,Open,High,Low,Close,AdjClose,Volume
1/31/2007,1813.45,1843.35,1627.76,1757.26,1757.19,501642800
2/28/2007,1765.87,1824.99,1664.2,1740.97,1740.9,482985200
3/31/2007,1752.11,1833.42,1692.22,1830.92,1830.85,445107500
4/30/2007,1837.18,2021.01,1837.18,1999.17,1999.09,486833700
5/31/2007,1995.17,2111.83,1987.89,2084.32,2084.24,550720100
6/30/2007,2100.68,2167.45,2045.58,2139.28,2139.19,517207000
7/31/2007,2140.62,2405.96,2140.62,2348.67,2348.58,376941900
8/31/2007,2318.7,2322.8,1863.36,2194.34,2194.25,550133600
9/30/2007,2194.43,2385.24,2192.79,2359.21,2359.11,891354100
10/31/2007,2366.61,2689.92,2366.61,2643.49,2643.38,876734500
11/30/2007,2692.51,2737.81,2526.95,2688.33,2688.23,800087800
12/31/2007,2703.72,2818.53,2629.07,2745.83,2745.72,480196800
1/31/2008,2739.59,2838.48,2229.82,2627.25,2627.15,651196000
2/29/2008,2657.16,2773.43,2573.41,2721.94,2721.84,592475700
3/31/2008,2651.88,2689.66,2239.73,2447.3,2447.2,433278800
4/30/2008,2463.74,2465.82,2167.65,2304.52,2304.43,514830400
5/31/2008,2333.56,2516.26,2322.19,2444.35,2444.25,627415600
6/30/2008,2447.63,2461.05,2316.43,2349.1,2349.01,460755400
7/31/2008,2361.48,2394.17,2129.4,2304.51,2304.42,434750800
8/31/2008,2283.02,2283.02,2035.59,2165.94,2165.86,332844400
9/30/2008,2157.02,2168.8,1592.24,1832.51,1832.44,476944500
10/31/2008,1766.94,1766.94,1089.34,1256.7,1256.66,348218600
11/30/2008,1281.51,1430.72,1102.67,1241.54,1241.49,431840400
12/31/2008,1240.85,1376.1,1177.86,1355.41,1355.36,319868900
1/31/2009,1377.45,1472.46,1307.53,1332.67,1332.62,292053200
2/28/2009,1330.02,1360.94,1281.07,1285.48,1285.43,328752000
3/31/2009,1285.48,1467.52,1244.87,1434.07,1434.02,310209300
4/30/2009,1434.07,1728.07,1434.07,1722.77,1722.7,1773498600
5/31/2009,1722.77,1941.79,1701.99,1916.83,1916.76,2725548000
6/30/2009,1917.45,2116.17,1888.82,2026.78,2026.7,1661741400
7/31/2009,2026.88,2332.76,1992.38,2323.24,2323.15,1109168400
8/31/2009,2323.85,2411.9,2271.21,2341.54,2341.45,1728505400
9/30/2009,2341.43,2482.85,2272.76,2467.59,2467.5,683017700
10/31/2009,2467.9,2559.67,2235.39,2367.7,2367.61,889779700
11/30/2009,2365.65,2494.82,2294.56,2415.84,2415.74,988574900
12/31/2009,2416.04,2542.5,2413,2534.36,2534.26,599642500
1/31/2010,2533.95,2689.77,2532.9,2610.8,2610.69,826873200
2/28/2010,2610.59,2613.67,2431.84,2549.03,2548.93,584751200
3/31/2010,2548.83,2818.94,2545.89,2777.3,2777.19,813656000
4/30/2010,2777.7,2972.92,2777.7,2971.25,2971.14,1055067900
5/31/2010,2971.75,2996.42,2502.05,2796.96,2796.85,969715700
6/30/2010,2796.66,2981.28,2698.28,2913.68,2913.57,912207900
7/31/2010,2912.88,3104.08,2860.91,3069.28,3069.16,821131700
8/31/2010,3070.28,3150.16,2959.75,3081.88,3081.76,817268400
9/30/2010,3081.49,3524.32,3081.49,3501.3,3501.16,1050575300
10/31/2010,3501.2,3667.01,3501.2,3635.32,3635.18,1245736000
11/30/2010,3635.52,3777.92,3529.85,3531.21,3531.07,1364755800
12/31/2010,3530.93,3788.56,3530.93,3703.51,3703.37,719963100
1/31/2011,3704.44,3789.47,3309.62,3409.17,3409.03,687806300
2/28/2011,3411.08,3521.63,3336.83,3470.35,3470.21,440027100
3/31/2011,3470.63,3683.47,3465.6,3678.67,3678.53,637196600
4/30/2011,3679.05,3824.07,3671.18,3819.62,3819.47,641475400
5/31/2011,3819.8,3872.95,3760.79,3836.97,3836.82,1188366900
6/30/2011,3837.18,3896.16,3704.58,3888.57,3888.42,744731300
7/31/2011,3888.2,4177.74,3888.2,4130.8,4130.64,990805400
8/31/2011,4131.73,4195.72,3590.94,3841.73,3841.58,1043226400
9/30/2011,3842.65,4028.48,3217.95,3549.03,3548.89,706645600
10/31/2011,3548.12,3875.11,3256.44,3790.85,3790.7,946848000
11/30/2011,3790.11,3859.1,3618.97,3715.08,3714.94,604792900
12/31/2011,3715.44,3825.96,3666.25,3821.99,3821.84,642088100
1/31/2012,3821.63,4038.78,3797,3941.69,3941.54,742941500
2/29/2012,3941.78,4040.08,3838.54,3985.21,3985.05,694776900
3/31/2012,3985.03,4129.33,3929.19,4121.55,4121.39,545808900
4/30/2012,4121.82,4232.92,4109.32,4180.73,4180.57,815087200
5/31/2012,4181.09,4234.73,3810.39,3832.82,3832.67,611510600
6/30/2012,3820.38,3971.08,3635.28,3955.58,3955.42,580809300
7/31/2012,3976.71,4149.71,3963.47,4142.34,4142.18,521170300
8/31/2012,4129.81,4183.03,3978.08,4060.33,4060.17,482237200
